
Hakan,22:58:57.515635200,2022-12-23,NYX,3,4
Mert,22:59:15.088426100,2022-12-23,MACHIEVELLI,11,11
Haakan,22:59:46.702828100,2022-12-23,ARMAGEDDON,10,7
